What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,location
Games,6/24/16 7:03,3,5,New York
Games,6/24/16 7:10,3,3,New York
Apps,6/24/16 7:03,3,3,New York
Intro,6/24/16 7:04,4,3,New York
Intro,6/24/16 7:07,4,4,New York
Intro,6/24/16 7:08,4,4,New York
Intro,6/24/16 7:09,4,4,New York
Games,6/24/16 7:01,4,4,New York
Games,6/24/16 7:02,4,4,New York
Games,6/24/16 7:03,4,3,New York
Games,6/24/16 7:06,4,3,New York
Games,6/24/16 7:06,4,4,New York
Apps,6/24/16 7:01,4,4,New York
Apps,6/24/16 7:01,4,4,New York
Apps,6/24/16 7:02,4,4,New York
Apps,6/24/16 7:03,4,3,New York
Apps,6/24/16 7:03,4,4,New York
Apps,6/24/16 7:03,4,2,New York
Apps,6/24/16 7:06,4,3,New York
Apps,6/24/16 7:07,4,4,New York
Apps,6/24/16 7:08,4,4,New York
Apps,6/24/16 7:08,4,3,New York
Intro,6/24/16 7:01,5,3,New York
Intro,6/24/16 7:03,5,3,New York
Intro,6/24/16 7:06,5,4,New York
Intro,6/24/16 7:07,5,4,New York
Games,6/24/16 7:04,5,3,New York
Games,6/24/16 7:08,5,3,New York
Games,6/24/16 7:12,5,4,New York
Apps,6/24/16 7:03,5,3,New York
Apps,6/24/16 7:03,5,4,New York
Apps,6/24/16 7:04,5,3,New York
Apps,6/24/16 7:04,5,3,New York
Apps,6/24/16 7:05,5,4,New York
Apps,6/24/16 7:06,5,4,New York
Apps,6/24/16 7:07,5,3,New York
Apps,6/24/16 7:08,5,3,New York
Apps,6/24/16 7:18,5,4,New York
Apps,6/24/16 8:22,5,3,New York
