,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,location
6/24/16 13:32,Games,2,4,Sunnyvale
6/24/16 13:48,Apps,3,4,Sunnyvale
6/24/16 13:49,Apps,3,3,Sunnyvale
6/24/16 13:53,Apps,3,5,Sunnyvale
6/24/16 13:55,Apps,3,3,Sunnyvale
6/24/16 13:41,Games,3,3,Sunnyvale
6/24/16 13:46,Apps,4,4,Sunnyvale
6/24/16 13:46,Apps,4,3,Sunnyvale
6/24/16 13:47,Apps,4,3,Sunnyvale
6/24/16 13:47,Apps,4,4,Sunnyvale
6/24/16 13:47,Apps,4,3,Sunnyvale
6/24/16 13:48,Apps,4,4,Sunnyvale
6/24/16 13:48,Apps,4,4,Sunnyvale
6/24/16 13:48,Apps,4,3,Sunnyvale
6/24/16 13:49,Apps,4,4,Sunnyvale
6/24/16 13:50,Apps,4,3,Sunnyvale
6/24/16 13:51,Apps,4,4,Sunnyvale
6/24/16 13:51,Apps,4,4,Sunnyvale
6/24/16 13:52,Apps,4,3,Sunnyvale
6/24/16 13:52,Apps,4,3,Sunnyvale
6/24/16 13:52,Apps,4,5,Sunnyvale
6/24/16 13:53,Apps,4,3,Sunnyvale
6/24/16 13:55,Apps,4,3,Sunnyvale
6/24/16 13:59,Apps,4,3,Sunnyvale
6/24/16 13:28,Games,4,4,Sunnyvale
6/24/16 13:31,Games,4,4,Sunnyvale
6/24/16 13:32,Games,4,4,Sunnyvale
6/24/16 13:34,Games,4,3,Sunnyvale
6/24/16 13:39,Games,4,4,Sunnyvale
6/24/16 13:45,Games,4,3,Sunnyvale
6/24/16 14:10,Games,4,4,Sunnyvale
6/24/16 14:12,Games,4,3,Sunnyvale
6/24/16 14:12,Games,4,4,Sunnyvale
6/24/16 13:44,Intro,4,4,Sunnyvale
6/24/16 13:45,Intro,4,3,Sunnyvale
6/24/16 13:49,Intro,4,4,Sunnyvale
6/24/16 13:50,Intro,4,3,Sunnyvale
6/24/16 13:50,Intro,4,4,Sunnyvale
6/24/16 13:51,Intro,4,3,Sunnyvale
6/24/16 13:53,Intro,4,3,Sunnyvale
6/24/16 13:55,Intro,4,3,Sunnyvale
6/24/16 13:47,Apps,5,3,Sunnyvale
6/24/16 13:47,Apps,5,3,Sunnyvale
6/24/16 13:47,Apps,5,3,Sunnyvale
6/24/16 13:49,Apps,5,3,Sunnyvale
6/24/16 13:50,Apps,5,3,Sunnyvale
6/24/16 13:50,Apps,5,3,Sunnyvale
6/24/16 13:50,Apps,5,4,Sunnyvale
6/24/16 13:51,Apps,5,4,Sunnyvale
6/24/16 13:53,Apps,5,3,Sunnyvale
6/24/16 13:54,Apps,5,4,Sunnyvale
6/24/16 13:54,Apps,5,4,Sunnyvale
6/24/16 13:30,Games,5,4,Sunnyvale
6/24/16 13:33,Games,5,2,Sunnyvale
6/24/16 13:34,Games,5,3,Sunnyvale
6/24/16 14:05,Games,5,4,Sunnyvale
6/24/16 13:44,Intro,5,3,Sunnyvale
6/24/16 13:45,Intro,5,2,Sunnyvale
6/24/16 13:47,Intro,5,3,Sunnyvale
6/24/16 13:49,Intro,5,3,Sunnyvale
6/24/16 13:49,Intro,5,3,Sunnyvale
6/24/16 13:50,Intro,5,3,Sunnyvale
