What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
Apps,7/1/16 16:35,2,3,San Francisco
Apps,7/1/16 16:10,3,2,San Francisco
Apps,7/1/16 17:00,3,3,San Francisco
Apps,7/3/16 14:53,3,3,San Francisco
Apps,7/1/16 15:35,4,2,San Francisco
Apps,7/1/16 15:51,4,2,San Francisco
Apps,7/1/16 16:07,4,5,San Francisco
Apps,7/1/16 16:07,4,3,San Francisco
Apps,7/1/16 16:08,4,4,San Francisco
Apps,7/1/16 16:12,4,4,San Francisco
Apps,7/1/16 16:19,4,3,San Francisco
Apps,7/1/16 16:21,4,5,San Francisco
Apps,7/1/16 16:41,4,3,San Francisco
Apps,7/1/16 17:06,4,3,San Francisco
Apps,7/1/16 17:18,4,3,San Francisco
Apps,7/1/16 19:06,4,2,San Francisco
Apps,7/2/16 0:32,4,3,San Francisco
Apps,7/1/16 16:05,5,3,San Francisco
Apps,7/1/16 16:07,5,2,San Francisco
Apps,7/1/16 16:07,5,3,San Francisco
Apps,7/1/16 16:07,5,3,San Francisco
Apps,7/1/16 16:07,5,4,San Francisco
Apps,7/1/16 16:08,5,3,San Francisco
Apps,7/1/16 16:10,5,3,San Francisco
Apps,7/1/16 16:10,5,2,San Francisco
Apps,7/1/16 16:12,5,3,San Francisco
Apps,7/1/16 16:19,5,4,San Francisco
Apps,7/1/16 16:22,5,3,San Francisco
Games,7/1/16 16:10,4,4,San Francisco
Games,7/1/16 16:23,4,5,San Francisco
Games,7/1/16 16:07,5,3,San Francisco
Games,7/1/16 16:15,5,3,San Francisco
Games,7/1/16 16:15,5,3,San Francisco
Games,7/1/16 16:16,5,3,San Francisco
Games,7/1/16 16:17,5,3,San Francisco
Games,7/1/16 16:18,5,3,San Francisco
Games,7/1/16 16:18,5,3,San Francisco
Intro,7/1/16 15:40,3,3,San Francisco
Intro,7/1/16 15:38,4,2,San Francisco
Intro,7/1/16 15:40,4,3,San Francisco
Intro,7/1/16 15:40,4,3,San Francisco
Intro,7/1/16 15:42,4,3,San Francisco
Intro,7/1/16 15:49,4,4,San Francisco
Intro,7/1/16 15:50,4,4,San Francisco
Intro,7/1/16 16:20,4,4,San Francisco
Intro,7/1/16 17:13,4,4,San Francisco
Intro,7/5/16 9:48,4,3,San Francisco
Intro,7/5/16 16:07,4,4,San Francisco
Intro,7/5/16 16:10,4,3,San Francisco
Intro,7/5/16 16:11,4,3,San Francisco
Intro,7/1/16 16:24,5,4,San Francisco
Intro,7/4/16 18:31,5,3,San Francisco
Intro,7/5/16 9:39,5,3,San Francisco
Intro,7/5/16 10:15,5,3,San Francisco
Intro,7/5/16 16:09,5,3,San Francisco
VR,7/2/16 12:45,1,3,San Francisco
VR,7/2/16 12:49,2,3,San Francisco
VR,7/5/16 12:00,2,3,San Francisco
VR,7/1/16 15:35,5,3,San Francisco
VR,7/2/16 21:55,5,3,San Francisco
VR,7/5/16 11:30,5,3,San Francisco
VR,7/5/16 18:24,5,3,San Francisco
