What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
Apps,3,3,San Francisco
Apps,4,3,San Francisco
Apps,4,3,San Francisco
Apps,4,4,San Francisco
Apps,3,3,San Francisco
Apps,5,3,San Francisco
Apps,3,2,San Francisco
Apps,5,3,San Francisco
Apps,1,3,San Francisco
Apps,4,3,San Francisco
Apps,5,3,San Francisco
Apps,4,4,San Francisco
Apps,3,4,San Francisco
Games,4,3,San Francisco
Games,5,3,San Francisco
Games,1,5,San Francisco
Games,5,3,San Francisco
Games,4,3,San Francisco
Games,5,3,San Francisco
Intro,5,2,San Francisco
Intro,4,3,San Francisco
Intro,3,5,San Francisco
Intro,5,3,San Francisco
Intro,5,4,San Francisco
Intro,5,3,San Francisco
Intro,5,3,San Francisco
Intro,5,3,San Francisco
Intro,5,2,San Francisco
Intro,5,3,San Francisco
Intro,5,3,San Francisco
Intro,4,3,San Francisco
Intro,5,3,San Francisco
Intro,5,3,San Francisco
Intro,4,4,San Francisco
Intro,5,3,San Francisco
Intro,5,3,San Francisco
VR,5,4,San Francisco
VR,5,4,San Francisco
VR,4,4,San Francisco
VR,5,3,San Francisco
Intro,3,3,San Francisco
Intro,3,3,San Francisco
