Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/31/16 8:43,Games,5,3,Los Angeles
7/31/16 11:28,Intro,5,3,Los Angeles
7/31/16 13:22,Games,3,1,Los Angeles
8/1/16 1:39,Games,1,3,Los Angeles
8/1/16 9:40,Intro,5,3,Los Angeles
8/1/16 9:40,Intro,5,3,Los Angeles
8/1/16 10:03,Games,5,3,Los Angeles
8/1/16 10:04,Games,4,3,Los Angeles
8/1/16 10:06,Intro,4,4,Los Angeles
8/1/16 11:22,Games,4,4,Los Angeles
