Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/29/16 6:54,Apps,2,2,New York
7/29/16 6:55,Apps,4,3,New York
7/29/16 7:26,Apps,4,4,New York
7/29/16 9:46,Apps,5,3,New York
7/29/16 11:17,Games,5,3,New York
7/29/16 13:11,Intro,4,3,New York
7/29/16 13:13,Apps,3,3,New York
7/29/16 13:14,Apps,5,3,New York
7/29/16 13:14,Games,3,3,New York
7/29/16 13:15,Apps,4,3,New York
7/29/16 13:17,Intro,5,4,New York
7/29/16 13:17,Intro,4,3,New York
7/29/16 13:17,Apps,5,3,New York
7/29/16 13:17,Apps,2,1,New York
7/29/16 13:17,Intro,4,3,New York
7/29/16 13:17,Apps,4,3,New York
7/29/16 13:19,Intro,5,3,New York
7/29/16 13:19,Games,4,3,New York
7/29/16 13:21,Apps,5,5,New York
8/5/16 12:40,Games,4,3,New York
